6,936269
7,017890
7,018437
6,942651
6,949082
6,927818
6,890294
7,012114
6,916242
6,958957
6,919537
6,961237
7,007385
6,991833
6,914336
6,941204
6,864402
6,973353
6,920370
6,977210
6,985173
6,975179
6,968929
6,945657
6,943155
7,019571
7,006636
6,983590
7,012146
7,099299
6,995520
6,985235
6,932658
7,050904
6,984568
7,002410
7,016885
7,067912
6,979444
6,939374
7,055183
7,000647
6,959364
7,013462
7,088710
6,961111
6,993320
7,003831
6,988693
6,993180
6,963230
6,942779
6,945744
6,957612
7,010738
6,993468
6,966038
6,920394
6,948443
6,946741
6,996375
7,043945
6,984437
6,889837
7,009562
6,912820
6,985907
6,937612
6,974742
6,992841
6,955205
7,003902
6,970146
7,045166
6,994500
6,974099
7,011003
7,016311
6,993988
7,005860
7,011294
6,937523
6,966213
7,035290
6,991032
7,052349
7,039277
6,944299
6,978880
6,978635
6,898796
6,977716
6,917138
6,995455
6,962655
6,992757
6,896971
6,974074
6,909790
6,994931
